Asker Id	Answerer Id
11990789	6560549
9458508	12345551
12298417	7976758
1871188	2288252
1871188	9530
1871188	296974
10981932	6243352
10981932	12332712
9879394	6553328
12337744	10189214
12337744	8719334
12337744	1838257
10168510	12345346
10168510	11796003
2291710	8430733
12322855	9477338
4936236	1405065
3346095	1713868
3080600	11891566
11891566	858675
11891566	8430733
11891566	4602882
12098223	674039
12098223	2190251
12098223	908269
12098223	1707152
12098223	187377
12344423	11547576
12344423	3286487
12344423	11639533
12345850	235698
10376393	355230
12001686	11891566
9619640	12345770
12345773	12345014
12254012	11751534
12170442	1718477
12170442	1513933
8200892	130288
12207261	11751534
4798004	10238
4798004	906693
8417524	2589128
8719334	11938023
11045233	7200715
11045233	2047157
11045233	2096218
11045233	1156245
11045233	465081
11045233	152809
11045233	1832566
11045233	7216865
11045233	104349
10760601	2965883
10760601	704848
8416019	12345745
8416019	10439676
11103685	3350428
11103685	7261236
9173690	8360965
12341559	5025009
12341559	9625777
12341559	431856
12341559	4637585
12341559	1529591
12341559	69707
12341559	396320
12319491	8538536
11219043	11639533
265683	12344790
265683	10924830
176841	6243352
674039	858675
2727167	9475885
9879394	12345745
9879394	7713184
9879394	332059
3193317	2874447
10798906	5771269
10798906	116
10765606	12344059
10765606	8341461
10150665	11530809
10150665	4504639
12345014	4238408
12344384	12339133
2375119	2750819
130288	7348030
5408702	6552776
5408702	901925
5408702	10104112
12345752	11938023
12345752	3566606
12344381	7095217
12344381	5487108
4133301	5771269
4133301	3019689
3734568	10987432
3734568	11752904
7261236	1092820
7261236	5086255
55281	7389264
10686839	1388292
12333650	12115778
12345687	616616
3715132	9375102
12345700	7254633
2874447	6560549
12143300	10777293
12143300	10393925
12143300	908316
12143300	820173
12143300	4333044
12143300	2090850
12143300	1015365
12143300	422670
12143300	388370
12143300	12008
12143300	38403
12143300	21886
12143300	185104
3333354	11651556
3333354	7692859
10267497	9375102
12172539	10885684
802191	11639533
12210401	12339133
12210401	11634290
12210401	2346961
12210401	7212686
3566606	8300135
12345708	2548596
7095217	5858851
7095217	5828883
7095217	1440565
12231842	2654002
12345451	7254633
9475885	12197595
5222	3106565
5222	1491895
9879394	5909839
11225821	12242051
4509631	3600709
4509631	1092820
6451772	7901720
6451772	10885684
6451772	12345425
6451772	10515117
51197	2049312
10963057	901925
11805535	3322400
208238	10524548
208238	2901002
208238	10201580
12345387	1988232
12345387	7229979
12345387	4674445
12345387	176922
12345387	3931936
12345387	728286
12345387	4192269
12345387	548792
12345387	449449
12343784	6332373
12343784	858565
11041613	1816644
11041613	5840062
12320544	7629797
6830209	12046409
5228874	7326738
5228874	2422450
5228874	10967204
4663244	8324480
4663244	5173426
4663244	10392256
4663244	7177029
4663244	532312
12345575	12224335
12345575	6914441
12345575	10359850
12345575	9979257
12345575	10682169
12345575	301877
12345575	7064294
12345575	250798
12345575	82322
12345575	118364
1790338	11343115
133374	12345332
12273990	11356586
12273990	6405346
12273990	9161389
5721803	3809375
5721803	674039
5721803	4042267
12257987	996205
12257987	1330293
12257987	4076764
9813733	3416272
9813733	360826
12283168	8591431
4764604	5320906
2049312	906693
2049312	7804910
104239	10795935
104239	4268390
104239	7574575
104239	10147399
104239	1090302
1058858	2742418
12332712	355230
12332712	12285344
12332712	948122
10687230	9510729
1714156	2308683
1714156	10515117
1714156	12333471
1714156	11651556
12032370	1427416
12032370	4279
12032370	240443
8857999	1485311
3705609	3987854
3705609	5253063
257583	3663533
4790871	7153928
10495776	10691504
10495776	6087307
10495776	5447280
12345332	7598378
12345332	7598378
8870483	12343672
1325279	105518
12092724	9952503
2675061	6451573
11392048	10515117
11631338	2383070
11631338	9874393
513904	9053588
12345446	1250772
674039	7688996
12309514	10403584
12309514	7656369
12309514	684650
12309514	6284581
12309514	2185004
12309514	938949
12309514	2681088
12345348	3293881
12345348	8973620
12345348	4238408
10160787	4447761
10160787	6463137
10160787	5695374
10160787	588855
12167715	1491895
313245	3534080
12308322	11884237
8529269	2774368
8529269	4391401
12247886	2543601
10203620	2076347
10203620	624066
10203620	89391
10203620	9272126
10203620	3785561
10203620	230561
10203620	642148
10203620	267887
3943868	885028
3943868	10534041
3943868	2373278
3943868	1234000
3943868	10233157
3943868	6451573
3943868	8142636
3943868	7677359
3943868	9449389
3943868	8012789
3943868	2106009
3943868	856804
3943868	3990239
3943868	1903116
1913233	2336654
1913233	4238408
1913233	11070463
9952503	799921
9952503	6467650
9960511	6451573
11968163	12322064
1849805	1838257
1849805	11897007
1849805	11752904
11846432	1838257
11846432	11897007
11846432	11752904
3973175	5003756
7366596	2212230
12124913	10890924
4759924	6890912
4979733	4843137
4979733	126042
7010243	95810
7010243	4558344
7010243	23072
7010243	1714997
7010243	2361465
3507127	4784836
1230358	570918
588855	10762325
588855	1569297
588855	4763988
10829658	6378557
2774368	26933
2774368	1078391
2774368	2082371
2774368	172999
2774368	180783
8329998	8854381
8329998	6699187
8329998	1250465
8329998	2729038
8329998	16148
8329998	828824
11865845	1401686
8000039	2122833
420840	12046409
2080298	754991
5175815	7658051
5175815	1928977
5175815	7658051
5175815	7802577
5175815	104349
8111012	6004983
9879394	8973620
9879394	489590
4409734	2346961
10617194	11517841
12344948	4111568
168717	11204702
10076702	1694364
9258239	1089161
9258239	12046409
12345252	850848
828824	11162165
12341610	11752904
4404729	11138259
3294779	11002446
7593671	6656130
12278298	11651556
3130926	12339901
3130926	10161323
3130926	2204926
3130926	4501263
7562737	2315085
5902880	12305476
11399752	2924421
11399752	5017758
11399752	2019586
11399752	10603525
11399752	3687902
11399752	8584383
11399752	2625098
11399752	1705127
11399752	4256081
11399752	657568
11399752	2321081
11399752	4694757
11399752	6930183
11399752	6586481
11399752	8379578
11399752	1051441
12339842	2671285
12339842	2679834
5741066	67579
5896124	11751534
10779475	12131706
10556816	3973175
9243846	6451573
12339937	11803249
12339937	4596776
12339937	712654
11260467	6241235
10295265	674039
11308135	7551899
7061265	4368068
12345219	5320906
11002446	11019743
1795110	11783807
12345205	7348030
12345153	5386938
12344437	7153928
12344437	11062030
9290609	5025009
11530112	11019743
11530112	12090086
12131706	11890264
12131706	4604579
3973175	12245907
3973175	7372484
3973175	10818128
3973175	1855988
3973175	2901002
2496636	2125198
2496636	4240413
2496636	7215928
5881652	858675
12297237	3700626
4393209	823321
12114756	6779049
3133995	7348030
9022525	12310152
12334091	5393381
12334091	1491895
12334091	2460780
12109095	10885684
12328235	1307905
7792911	5799880
11460892	11776417
12343153	3436535
7538023	12305476
263284	7348030
263284	10189214
10650203	901925
10650203	3293881
10650203	2867928
8530873	748858
12342061	2586761
12342061	1935861
12342061	2246
12344972	5771269
12344972	1110833
12171602	4238408
12171602	11897007
5635395	12333496
5635395	4912756
11915114	9049108
11915114	42346
12333234	1551810
12333234	11270121
12333234	869951
12333234	533
12345175	115612
12118163	5237560
12118163	4056181
12118163	7348030
12118163	1126841
11706035	9851754
11706035	11502612
11706035	7371893
10981126	8768207
11857254	6591675
10872352	423926
10872352	8622976
10872352	234775
10872352	4531270
10872352	1843248
10872352	559935
10872352	2804865
10872352	1551810
10872352	7574324
10872352	4246855
10872352	232371
10872352	180174
10872352	845296
10872352	3124256
10872352	323751
10872352	177275
10872352	1532627
10872352	1236083
10872352	132542
10872352	66289
10872352	18852
10872352	205736
10872352	574426
10872352	407879
10872352	253890
1230358	7212686
889604	9537641
889604	8192635
602775	5599955
12345122	8701024
12345122	3406693
1935861	3789550
12263051	12339901
12263051	6798791
12263051	1839849
12263051	523612
12263051	20862
122364	9824037
5356096	3277133
6865633	9448377
9851754	317052
12335473	6556938
12335473	11968227
954835	2988730
12345041	8271309
11730789	4740706
11730789	2057509
11730789	7282091
12332712	10470287
2106169	7367049
2106169	12017769
2106169	4992422
5126038	5752027
4290740	11561359
10592936	1092820
11898797	12326233
11898797	1491895
2383199	10559735
2383199	11776417
9824037	2118130
12132799	2758131
12132799	9988229
12132799	8160718
4611356	1721499
4611356	7998591
12275428	6539499
8706200	11884237
1683101	1462718
1683101	1064375
6741482	3019689
2212059	7311110
2212059	7475225
1644352	3633891
1644352	8784938
8069821	3633891
12270530	592851
12270530	2482744
9932220	9049108
12131415	12131830
12067191	6660373
12067191	3041840
12067191	674039
12067191	2153910
12067191	8993294
12067191	5393381
12067191	2211268
12067191	35070
12067191	464744
12067191	455276
10559735	5090416
10559735	3707564
10559735	3001761
2758131	728583
2758131	5783902
2758131	3118251
2758131	5276734
12338927	2832976
12338927	1220305
4443411	8245469
5615327	2482744
12338260	9331091
548894	2336654
12344783	12245907
12344783	5438323
12344783	5618539
12344783	104184
12344783	4531270
12344783	502519
12344783	541136
12344783	3993524
12344783	6934895
12344783	63347
12344783	3368498
12344783	1312904
10909217	9183344
10909217	8493792
10909217	9698684
4798004	9271210
4798004	12059759
4798004	10337002
4798004	8017898
4798004	11517841
4798004	3043749
4798004	6330168
4798004	7711998
4798004	4984769
4798004	2711210
4798004	5012099
7396098	7348030
2894020	7001933
10551559	2482744
8822137	2712644
8822137	579887
8822137	1431380
12131830	9675583
4602605	1055722
4602605	331030
4602605	112380
4602605	832136
4602605	17160
4602605	1480205
4602605	2990757
4602605	2822774
4602605	2757902
4602605	3140578
4602605	560935
7163179	12339901
7163179	364696
7163179	9209546
11373841	2482744
1874064	12288114
8245469	2482744
12316033	7389608
10860238	11933599
10860238	4427777
10860238	4533188
10860238	7377553
10860238	5249307
10860238	3051961
495656	4685471
3885769	7887257
8443985	11958250
11519044	2212230
11519044	2482744
12251537	6660373
12251537	2387835
12251537	10937550
12251537	20840
12251537	605436
12251537	4220424
12251537	2029648
12251537	1242139
12251537	4130524
12251537	1961612
12251537	1000188
12251537	4279
12251537	1941213
12251537	12320
12251537	893
12251537	8776
2554262	12121150
1610626	6501141
1610626	2146138
1610626	8185492
1610626	4081962
1610626	5054685
1610626	1267329
12252872	2482744
733197	12150472
733197	2760299
11932905	953482
12343724	7326738
12343724	8967612
12343724	1863229
2695448	10671203
10829743	9168173
10829743	10311377
12240644	8545455
12240644	5518510
3528955	12233973
7946034	3565744
865004	11884237
865004	4238408
1052985	8895630
10732646	8477066
11958250	9744136
11958250	4395530
11958250	1241791
24953	1698431
24953	907575
24953	1569144
24953	3757
24953	49793
24953	38626
24953	475477
24953	1797327
12121150	83406
12121150	174728
12121150	3620003
12121150	6451573
12121150	1049677
12121150	2979916
12121150	95810
12121150	14028
12121150	20862
2146138	3019689
2146138	9183344
12150472	6640099
12150472	2415028
12150472	6591347
12150472	4909087
10133797	1133157
10133797	10712335
10133797	4836149
10133797	4592059
9168173	6610243
9168173	3379288
9168173	2875563
9168173	975477
11416368	3308055
12344502	3832970
12344502	1078199
12344502	1231450
12343308	11692739
1241791	6672746
1241791	12341260
1241791	11308889
1241791	4321788
1241791	6244155
1241791	8235224
1241791	5917676
1241791	7074913
1241791	5355145
1241791	4254056
1241791	2421264
1241791	7907569
1241791	1852045
1241791	7824754
1241791	7677521
1241791	6729212
1241791	2201037
1241791	6075053
3433751	5671364
197473	4238408
197473	9183344
12131830	467366
12131830	982257
2840134	10189214
2840134	11897007
7512010	9750532
7512010	7492545
7512010	8140215
7512010	3329664
7512010	6231319
7512010	3816024
11249434	1667163
11249434	355230
11249434	208880
11249434	1761366
11249434	450517
11249434	376728
11249434	205270
11249434	20862
10712335	11019743
10712335	11343720
1461210	9459826
1461210	10737300
12329216	12339901
12329216	2212230
12329216	1126841
12329216	2460780
12344590	621690
5193909	2233533
5193909	1094092
5193909	642070
7311252	8043393
7516523	11301900
7516523	8650021
7516523	9477843
4321788	4785185
4321788	953482
10833049	2800058
10833049	5372462
3849781	12344161
3849781	3249655
11483132	9619640
12339047	7024006
2132478	8658257
2132478	12335146
4942661	2851685
4942661	4238408
458320	3282056
458320	4741735
458320	11886141
12034595	9401122
